complete_name,birth,death
Hildegard von Bingen,1098,1179
Notker Balbulus,840,912
Tuotilo,850,915
Aimeric de Peguilhan,1175,1230
Guiot de Dijon,1215,1225
Thibaut de Champagne,1201,1253
Oswald von Wolkenstein,1376,1445
Johannes Ciconia,1370,1412
Jehan de Lescurel,1400,1430
Matteo da Perugia,1400,1416
Adam de Saint Victor,1068,1146
Philippe de Vitry,1291,1361
Claude Gervaise,1525,1583
Joan Ambrosio Dalza,1508,1508
Anthony Holborne,1545,1602
Francesco Spinacino,1507,1507
Josquin des Prez,1450,1521
Traditional,,
Christopher Tye,1505,1573
Thomas Morley,1557,1602
Anonymous,,
Antoine Busnois,1430,1492
Giovanni de Macque,1548,1614
Pierre Attaingnant,1494,1551
Robert Lucas Pearsall,1795,1856
Paschal de l'Estocart,1538,1587
Antoine Brumel,1460,1512
Matthew Locke,1621,1677
Blasius Amon,1558,1590
Baude Cordier,1500,1530
Jacques Arcadelt,1507,1568
Hilaire Penet,1501,1550
Francesco da Milano,1497,1543
Hespèrion XXI,,
Alexander Agricola,1446,1506
Jean L'héritier,1480,1551
Francisco de Peñalosa,1470,1528
Vicente Lusitano,1520,1561
Heringman,,
Alessandro Striggio,1536,1592
Nicholas Ludford,1484,1557
Peter Philips,1560,1628
Tobias Hume,1579,1645
Johann Joachim Quantz,1697,1773
Élisabeth Jacquet de La Guerre,1665,1729
Michel Corrette,1707,1795
Heinrich Ignaz Franz von Biber,1644,1704
Jordi Savall,,
Francesco Cavalli,1602,1676
Johann Gottlieb Goldberg,1727,1756
Wilhelm Friedemann Bach,1710,1784
Georg Muffat,1653,1704
L'Arpeggiata,,
Gaspar Sanz,1640,1710
Ignaz Friedman,1882,1948
Christoph Willibald Gluck,1714,1787
Johann Stamitz,1717,1757
Joseph Haydn,1732,1809
Mykola Lysenko,1842,1912
Clara Schumann,1819,1896
André Previn,,
Wiener Streichsextett,,
Amy Beach,1867,1944
Max Richter,1966,
Ellen Reid,1983,
isomonstrosity,1983,
Olga Neuwirth,1968,
Jane Antonia Cornish,1975,
